,opponent_name,levski_goals,opponent_goals,result,coach,hosted,scorers,date,tournament,top_scorer,no_of_penalties
165,Ботев (Пловдив),2,1,win,Георги Иванов,True,"['Цветелин Чунчуков', 'Владимир Гаджев', 'Луис Педро']",2014-08-17,"""А"" Футболна група - първи етап",Цветелин Чунчуков,0
166,Литекс (Ловеч),0,3,loss,Георги Иванов,False,,2014-08-24,"""А"" Футболна група - първи етап",,0
167,Черно море (Варна),1,0,win,Георги Иванов,True,['Валери Божинов'],2014-08-29,"""А"" Футболна група - първи етап",Валери Божинов,0
168,Славия 1913 (София),2,0,win,Георги Иванов,True,"['Роман Прохазка', 'Антонио Салас']",2014-09-14,"""А"" Футболна група - първи етап",Антонио Салас,0
169,Хасково 2009 (Хасково),4,1,win,Георги Иванов,False,"['Луис Педро', 'Валери Домовчийски', 'Владимир Гаджев', 'Антонио Салас', 'Емил Ангелов (д)']",2014-09-20,"""А"" Футболна група - първи етап",Валери Домовчийски,1
170,Лудогорец 1945 (Разград),3,2,win,Георги Иванов,True,"['Мигел Бедоя', 'Космин Моци (д)', 'Георги Сърмов', 'Мигел Бедоя', 'Вандерсон']",2014-09-27,"""А"" Футболна група - първи етап",Мигел Бедоя,1
171,Марек 2010 (Дупница),1,1,tie,Георги Иванов,False,"['Златко Бонев', 'Владимир Гаджев', 'Мирослав Иванов']",2014-10-04,"""А"" Футболна група - първи етап",Златко Бонев,0
172,Локомотив 1926 (Пловдив),1,1,tie,Георги Иванов,False,"['Мигел Бедоя', 'Мартин Камбуров']",2014-10-18,"""А"" Футболна група - първи етап",Мартин Камбуров,0
173,ЦСКА (София),0,3,loss,Георги Иванов,False,,2014-10-25,"""А"" Футболна група - първи етап",,0
174,Локомотив (София),1,0,win,Георги Иванов,False,['Антонио Салас'],2014-11-02,"""А"" Футболна група - първи етап",Антонио Салас,0
175,Берое (Стара Загора),0,1,loss,Георги Иванов,True,,2014-11-07,"""А"" Футболна група - първи етап",,0
176,Ботев (Пловдив),3,0,win,Георги Иванов,False,"['Роман Прохазка', 'Георги Сърмов', 'Мигел Бедоя']",2014-11-23,"""А"" Футболна група - първи етап",Роман Прохазка,0
177,Литекс (Ловеч),2,2,tie,Елин Топузаков,True,"['Кристиян Малинов', 'Валери Домовчийски', 'Антонио Салас', 'Кирил Десподов']",2014-11-29,"""А"" Футболна група - първи етап",Кристиян Малинов,0
178,Черно море (Варна),0,1,loss,Георги Иванов,False,,2014-12-06,"""А"" Футболна група - първи етап",,0
179,Славия 1913 (София),1,3,loss,Георги Иванов,False,"['Жереми Манзоро', 'Валери Домовчийски', 'Жереми Манзоро', 'Жереми Манзоро']",2014-12-13,"""А"" Футболна група - първи етап",Жереми Манзоро,0
180,Хасково 2009 (Хасково),8,0,win,Стойчо Стоев,True,"['Валери Домовчийски', 'Антонио Салас', 'Валери Домовчийски', 'Мигел Бедоя', 'Божидар Краев', 'Емил Нину', 'Антонио Салас', 'Лукаш Гикевич']",2015-02-27,"""А"" Футболна група - първи етап",Валери Домовчийски,0
181,Лудогорец 1945 (Разград),0,1,loss,Стойчо Стоев,False,,2015-03-08,"""А"" Футболна група - първи етап",,0
182,Марек 2010 (Дупница),4,0,win,Стойчо Стоев,True,"['Антонио Салас', 'Владимир Гаджев', 'Владимир Гаджев', 'Либан Абди']",2015-03-14,"""А"" Футболна група - първи етап",Владимир Гаджев,0
183,Хасково 2009 (Хасково),1,1,tie,Стойчо Стоев,True,"['Димитър Алексиев', 'Антонио Салас']",2015-03-20,"""А"" Футболна група - втори етап",Антонио Салас,0
